year,TotBio,Age4plus,Spbio,Range,Age0,Rec_Range,Depletion,Depl_Range,Rec_Dev_Bias_Adjust,Rec_Dev_Value,Rec_Dev_Parm_StDev,SD,SR_Pred,resids,DF1,DF2,DF3,DF4
1988,283458,257019,103861,(59275-148447),9073,(0-19305),0.7,(0.48-0.93),Main_RecrDev_1988,0.451502,0.562672,0.562672,13389.29281,-4316.292814,0.516014606,-0.354341643,0.976942433,5.319254867
1989,273388,255122,100543,(57642-143444),20340,(5977-34704),0.68,(0.47-0.90),Main_RecrDev_1989,1.26358,0.344808,0.344808,13341.4482,6998.551795,-0.090749759,0.417994063,0.645959674,5.048768932
1990,265090,247659,97762,(56353-139171),23374,(8873-37875),0.66,(0.45-0.87),Main_RecrDev_1990,1.40683,0.31386,0.31386,13299.1321,10074.8679,-0.077588343,0.131247074,-0.034313225,4.216033686
1991,260572,238651,94831,(55011-134651),4051,(0-11634),0.64,(0.44-0.84),Main_RecrDev_1991,-0.341099,0.931188,0.931188,13252.16369,-9201.163687,-0.650698041,-0.802793403,0.634133816,3.079229256
1992,253817,227215,91316,(53121-129510),4132,(0-11263),0.62,(0.43-0.81),Main_RecrDev_1992,-0.315125,0.895149,0.895149,13192.34495,-9060.344946,0.06315534,1.563512331,-0.864548612,1.739128381
1993,244414,225234,88884,(51997-125770),3946,(0-10959),0.6,(0.42-0.78),Main_RecrDev_1993,-0.356801,0.877008,0.877008,13148.53298,-9202.532978,2.615360139,-0.024011135,-0.36477166,-0.366385416
1994,233746,227950,87782,(51956-123608),10500,(3777-17223),0.59,(0.42-0.77),Main_RecrDev_1994,0.623891,0.321742,0.321742,13127.9822,-2627.982204,0.322939445,-0.525445552,0.496355654,-1.277139698
1995,223349,215952,85549,(51058-120041),17253,(10347-24159),0.58,(0.41-0.75),Main_RecrDev_1995,1.12488,0.196005,0.196005,13084.92578,4168.074216,0.383236164,0.125671359,1.136008504,-1.771104482
1996,214666,202552,81399,(48658-114139),1040,(0-2752),0.55,(0.39-0.71),Main_RecrDev_1996,-1.67536,0.809529,0.809529,12999.47588,-11959.47588,0.644979555,-0.491733923,0.581265684,-1.413732741
1997,204154,188184,76208,(45339-107078),1330,(0-2782),0.52,(0.36-0.67),Main_RecrDev_1997,-1.41731,0.543704,0.543704,12881.35703,-11551.35703,1.141155283,-0.624178636,-1.26963666,-1.471103667
1998,192444,179685,71771,(42550-100993),4971,(2079-7863),0.49,(0.34-0.63),Main_RecrDev_1998,-0.0870656,0.27066,0.27066,12768.88236,-7797.882362,0.360342304,1.185398281,0.727123099,-1.591729889
1999,183828,181214,69934,(42079-97790),38397,(23760-53034),0.47,(0.34-0.61),Main_RecrDev_1999,1.96248,0.142752,0.142752,12718.77859,25678.22141,-0.806130334,-0.879499653,0.219012307,-1.40798847
2000,180643,167969,66327,(39936-92718),35115,(20702-49528),0.45,(0.32-0.58),Main_RecrDev_2000,1.88406,0.15453,0.15453,12613.61803,22501.38197,0.309415696,0.061437149,0.750528299,-1.131082872
2001,185648,154771,61825,(37054-86595),16329,(8556-24101),0.42,(0.30-0.54),Main_RecrDev_2001,1.13361,0.18862,0.18862,12468.07532,3860.924679,-1.076741149,-0.335358613,0.236788196,-0.628580406
2002,193754,145469,58927,(35296-82558),6132,(2926-9337),0.4,(0.28-0.51),Main_RecrDev_2002,0.165037,0.221109,0.221109,12364.70321,-6232.703207,-1.143832171,-0.29109605,1.168528803,-0.657214823
2003,202261,167361,61368,(37415-85321),2558,(960-4156),0.42,(0.30-0.53),Main_RecrDev_2003,-0.718405,0.27864,0.27864,12452.31156,-9894.31156,0.857783874,0.169406932,1.432156613,-1.143233371
2004,205018,189332,66584,(41150-92017),5524,(3117-7931),0.45,(0.33-0.58),Main_RecrDev_2004,0.0336948,0.165156,0.165156,12621.4275,-7097.427501,0.294872082,-0.411863171,0.099363262,-1.669933061
2005,203343,196194,71451,(44563-98340),282,(0-632),0.48,(0.35-0.62),Main_RecrDev_2005,-2.95542,0.600216,0.600216,12760.31184,-12478.31184,1.547637151,0.103050293,0.627937808,-1.044155123
2006,197015,192272,73499,(45980-101018),1230,(491-1968),0.5,(0.36-0.63),Main_RecrDev_2006,-1.48856,0.268266,0.268266,12814.06311,-11584.06311,0.456672464,1.263359223,0.285695672,-1.403032998
2007,187650,183135,72787,(45507-100067),454,(0-957),0.49,(0.36-0.63),Main_RecrDev_2007,-2.48204,0.533142,0.533142,12795.66832,-12341.66832,-0.42983816,-0.779488648,0.915429874,-1.221923299
2008,176850,175899,70583,(44134-97032),29976,(18382-41570),0.48,(0.35-0.61),Main_RecrDev_2008,1.71303,0.132089,0.132089,12736.73254,17239.26746,-1.016185135,-0.84609826,-0.110117396,-1.948423152
2009,171199,162821,66592,(41421-91763),827,(0-1709),0.45,(0.33-0.57),Main_RecrDev_2009,-1.8656,0.511426,0.511426,12621.66978,-11794.66978,-0.40800207,-0.315622999,0.088923065,-2.144724869
2010,164300,148730,60844,(37227-84462),15081,(8933-21230),0.41,(0.29-0.53),Main_RecrDev_2010,1.05772,0.139855,0.139855,12433.99548,2647.004523,0.975045725,-0.700306696,0.53207262,-2.08534238
2011,160487,134559,56030,(33653-78407),4821,(2413-7229),0.38,(0.27-0.49),Main_RecrDev_2011,-0.0634913,0.200997,0.200997,12252.64915,-7431.649147,0.541432696,-0.315634255,-0.168603709,-1.962003873
2012,157139,147775,54048,(32029-76066),3803,(1612-5994),0.37,(0.26-0.48),Main_RecrDev_2012,-0.291948,0.248384,0.248384,12170.37983,-8367.37983,1.070815965,-0.667264967,-0.24184177,-2.244033027
2013,153632,139139,53475,(31512-75439),29761,(17536-41985),0.36,(0.25-0.47),Main_RecrDev_2013,1.76808,0.139909,0.139909,12145.67679,17615.32321,-0.819239365,-0.656253549,-0.62975125,-2.264504442
2014,156175,143495,53617,(31615-75620),5103,(2320-7885),0.36,(0.25-0.47),Main_RecrDev_2014,0.00395903,0.226221,0.226221,12151.83847,-7048.838469,0.170891545,0.131497533,-2.01068087,-2.530330441
2015,158311,139233,53172,(31289-75054),11678,(6017-17339),0.36,(0.25-0.47),Main_RecrDev_2015,0.834045,0.188204,0.188204,12132.44011,-454.4401094,-0.871082605,0.801541636,-2.05040395,-3.368497368
2016,160153,132681,52469,(30588-74350),56319,(32578-80061),0.36,(0.24-0.47),Main_RecrDev_2016,2.41069,0.149029,0.149029,12101.25491,44217.74509,-0.597384886,0.132034344,-0.571210542,-3.725316802
2017,172400,149120,53373,(30839-75906),1644,(5-3284),0.36,(0.25-0.48),Main_RecrDev_2017,-1.12726,0.47426,0.47426,12141.23444,-10497.23444,0.87651041,0.071652568,-0.953171584,-3.485392
2018,183183,145746,54624,(31340-77909),3719,(0-9716),0.37,(0.25-0.49),Main_RecrDev_2018,-1.2284,0.788202,0.788202,12194.78816,-8475.788163,-0.166738141,0.116710807,-0.427143432,-3.542103978
2019,190935,147444,57444,(32776-82112),12857,(0-48750),0.39,(0.26-0.52),ForeRecr_2019,0,1.4,1.4,12308.49868,548.5013186,-0.469416093,1.354491533,-0.542788494,-3.099472751
